City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Berlevag,NO,70.86,29.09,30.2,92,75,8.05,shower rain
305,Maposeni,TZ,-10.58,35.4,75.2,69,75,17.22,broken clouds
306,Umm Kaddadah,SD,13.6,26.69,89.24,12,3,8.63,clear sky
307,Dakar,SN,14.69,-17.44,82.4,88,20,2.24,few clouds
308,Sundumbili,ZA,-29.13,31.4,73.4,73,75,8.05,broken clouds
309,Marovoay,MG,-16.1,46.63,91.4,36,20,12.75,few clouds
310,Kyshtovka,RU,56.55,76.63,37.74,75,100,15.9,overcast clouds
311,Hasaki,JP,35.73,140.83,59.0,100,90,4.7,moderate rain
312,Gboko,NG,7.32,9.0,78.3,82,61,10.18,broken clouds
313,Sorland,NO,67.67,12.69,41.0,60,0,9.17,clear sky
314,Bengkulu,ID,-3.8,102.27,82.98,73,100,7.29,light rain
315,Nara,JP,34.69,135.8,62.6,82,75,2.24,broken clouds
316,San Andres,CO,12.58,-81.7,82.4,83,75,5.82,broken clouds
317,Longyearbyen,SJ,78.22,15.64,28.4,63,75,5.82,broken clouds
318,High Rock,BS,26.62,-78.28,81.45,77,97,19.57,overcast clouds
319,Pingliang,CN,35.54,106.69,58.1,36,84,9.73,broken clouds
320,Coihaique,CL,-45.58,-72.07,37.4,89,90,3.36,light rain
321,Qaqortoq,GL,60.72,-46.03,35.6,91,98,2.8,mist
322,San Luis De La Paz,MX,21.3,-100.52,55.0,87,32,3.91,scattered clouds
323,Takhtamygda,RU,54.1,123.57,30.74,94,92,2.95,overcast clouds
324,Xiangxiang,CN,27.73,112.53,66.54,65,10,7.78,clear sky
325,Sinjai,ID,-5.12,120.25,86.14,55,100,8.43,overcast clouds
326,Copiapo,CL,-27.37,-70.33,53.6,93,0,10.29,clear sky
327,Dikson,RU,73.51,80.55,25.25,95,78,25.84,broken clouds
328,Sao Filipe,CV,14.9,-24.5,79.97,79,99,1.21,overcast clouds
329,Ilulissat,GL,69.22,-51.1,42.8,75,99,1.12,light intensity shower rain
330,Gorele,TR,41.03,39.0,73.4,64,40,5.82,scattered clouds
331,Moundsville,US,39.92,-80.74,55.4,62,75,4.7,broken clouds
332,Mabaruma,GY,8.2,-59.78,74.28,91,38,2.33,scattered clouds
333,Ilebo,CD,-4.32,20.58,84.58,62,85,4.03,overcast clouds
334,Korla,CN,41.76,86.15,66.67,23,0,4.52,clear sky
335,Banswara,IN,23.55,74.45,94.71,42,18,2.71,few clouds
336,Victoria,HK,22.29,114.16,81.0,64,10,1.01,clear sky
337,Tres Arroyos,AR,-38.37,-60.28,56.79,77,89,4.83,overcast clouds
338,Roma,US,43.21,-75.46,57.2,62,90,6.93,overcast clouds
339,Labuhan,ID,-6.88,112.21,76.89,86,100,12.55,light rain
340,Bagdarin,RU,54.43,113.6,39.97,71,99,0.45,overcast clouds
341,Cururupu,BR,-1.83,-44.87,76.05,88,39,4.25,scattered clouds
342,Udarnyy,RU,54.34,42.86,44.58,61,93,9.71,overcast clouds
343,San Patricio,US,28.02,-97.52,78.01,94,20,8.05,few clouds
344,Miajadas,ES,39.15,-5.91,59.0,40,7,8.01,clear sky
345,Mumford,GH,5.26,-0.76,78.67,85,97,8.16,light rain
346,Kavaratti,IN,10.57,72.64,87.8,66,20,6.93,few clouds
347,Nouadhibou,MR,20.93,-17.03,75.2,64,0,8.05,clear sky
348,La Ronge,CA,55.1,-105.28,24.8,79,90,6.93,light snow
349,Hwange,ZW,-18.37,26.5,93.0,13,0,6.02,clear sky
350,Neuquen,AR,-38.95,-68.06,53.04,40,0,17.36,clear sky
351,Zhanaozen,KZ,43.3,52.8,73.51,18,0,18.48,clear sky
352,Ixtapa,MX,20.7,-105.2,82.0,88,67,3.2,broken clouds
353,Mukhen,RU,48.1,136.1,40.37,67,100,5.03,overcast clouds
354,Rorvik,NO,64.86,11.24,30.2,92,20,2.24,few clouds
355,Yantal,RU,56.85,105.25,32.52,90,100,10.33,overcast clouds
356,Parambu,BR,-6.21,-40.69,68.94,91,92,6.78,overcast clouds
357,Guerrero Negro,MX,27.98,-114.06,69.44,80,11,5.95,few clouds
358,Prado,BR,-17.34,-39.22,71.96,83,100,7.2,overcast clouds
359,Muravlenko,RU,63.79,74.52,29.89,95,100,9.71,overcast clouds
360,Faya,SA,18.39,42.45,69.8,22,0,16.11,clear sky
